"","ori","agency_name","agency_type_name","state_name","state_abbr","division_name","region_name","region_desc","county_name","nibrs","latitude","longitude","nibrs_start_date"
"3237","GA1310000","Taliaferro County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TALIAFERRO","FALSE","33.559314","-82.875208","NULL"
"3238","GA1320000","Tattnall County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TATTNALL","FALSE","32.043768","-82.059208","NULL"
"3239","GA1320100","Glennville Police Department","City","Georgia","GA","South Atlantic","South","Region III","TATTNALL","FALSE","32.043768","-82.059208","NULL"
"3240","GA1330000","Taylor County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TAYLOR","FALSE","32.554667","-84.251426","NULL"
"3241","GA1330100","Butler Police Department","City","Georgia","GA","South Atlantic","South","Region III","TAYLOR","FALSE","32.554667","-84.251426","NULL"
"3242","GA1330200","Reynolds Police Department","City","Georgia","GA","South Atlantic","South","Region III","TAYLOR","FALSE","32.554667","-84.251426","NULL"
"3243","GA1340000","Telfair County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TELFAIR","FALSE","31.991693","-83.202644","NULL"
"3244","GA1340100","McRae Police Department","City","Georgia","GA","South Atlantic","South","Region III","WHEELER; TELFAIR","FALSE","31.913639","-82.931062","NULL"
"3245","GA1340300","Lumber City Police Department","City","Georgia","GA","South Atlantic","South","Region III","TELFAIR","FALSE","31.913639","-82.931062","NULL"
"3246","GA1340400","Milan Police Department","City","Georgia","GA","South Atlantic","South","Region III","DODGE; TELFAIR","FALSE","31.913639","-82.931062","NULL"
"3247","GA1340600","Jacksonville Police Department","City","Georgia","GA","South Atlantic","South","Region III","TELFAIR","FALSE","31.913639","-82.931062","NULL"
"3248","GA1350000","Terrell County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","TERRELL","FALSE","31.777191","-84.439446","NULL"
"3249","GA1350100","Dawson Police Department","City","Georgia","GA","South Atlantic","South","Region III","TERRELL","FALSE","31.777191","-84.439446","NULL"
"3250","GA1360000","Thomas County Sheriff's Office","County","Georgia","GA","South Atlantic","South","Region III","THOMAS","FALSE","30.864606","-83.91982","NULL"
"3251","GA1360100","Thomasville Police Department","City","Georgia","GA","South Atlantic","South","Region III","THOMAS","FALSE","30.864606","-83.91982","NULL"
"3252","GA1360200","Boston Police Department","City","Georgia","GA","South Atlantic","South","Region III","THOMAS","FALSE","30.864606","-83.91982","NULL"
"3253","GA1360300","Coolidge Police Department","City","Georgia","GA","South Atlantic","South","Region III","THOMAS","FALSE","30.864606","-83.91982","NULL"
"3254","GA1360400","Meigs Police Department","City","Georgia","GA","South Atlantic","South","Region III","MITCHELL; THOMAS","FALSE","30.864606","-83.91982","NULL"
