State,City,Population,"Violent
crime","Property
crime"
CA,Fresno,508876,2552,22584
CA,Fullerton,139676,372,3859
CA,Galt,24553,63,517
CA,Gardena,59703,245,1331
CA,Garden Grove,175469,455,3397
CA,Gilroy,51240,180,1740
CA,Glendale,195366,181,3198
CA,Glendora,50893,65,1340
CA,Goleta,30401,43,451
CA,Gonzales,8428,24,109
CA,Grand Terrace,12364,38,279
CA,Grass Valley,12792,115,751
CA,Greenfield,16922,89,259
CA,Gridley,6563,72,191
CA,Grover Beach,13398,39,303
CA,Guadalupe,7205,10,52
CA,Gustine,5655,39,125
CA,Hanford,54425,299,1939
CA,Hawaiian Gardens,14437,56,205
CA,Hawthorne,86132,580,2242
CA,Hayward,150955,589,4844
CA,Healdsburg,11483,25,236
CA,Hemet,81698,447,3963
CA,Hercules,24831,22,274
CA,Hermosa Beach,19858,27,549
CA,Hesperia,92621,371,2330
CA,Hidden Hills,1905,2,7
CA,Highland,54462,191,1362
CA,Hillsborough,11245,0,57
CA,Hollister,36414,195,570
CA,Holtville,6022,12,102
CA,Hughson,6898,7,147
CA,Huntington Beach,195842,362,4934
CA,Huntington Park,58852,359,1812
CA,Huron,6812,71,271
CA,Imperial,15943,7,86
CA,Imperial Beach,26998,133,454
CA,Indian Wells,5174,7,172
CA,Indio,80243,468,2699
CA,Industry,223,51,1041
CA,Inglewood,111672,739,2718
CA,Ione,7160,6,101
CA,Irvine,235830,113,3285
CA,Irwindale,1440,20,229
CA,Isleton,817,9,46
CA,Jackson,4549,23,179
CA,Jurupa Valley,98090,267,3065
CA,Kensington,5230,5,85
CA,Kerman,14543,45,436
CA,King City,13260,68,201
CA,Kingsburg,11651,23,327
CA,La Canada Flintridge,20572,12,303
CA,Lafayette,24829,21,413
CA,Laguna Beach,23313,41,469
CA,Laguna Hills,31134,53,508
CA,Laguna Niguel,64894,57,624
CA,Laguna Woods,16584,5,132
CA,La Habra,61740,88,1155
CA,La Habra Heights,5437,3,55
CA,Lake Elsinore,56232,103,1494
CA,Lake Forest,79336,105,813
CA,Lakeport,4674,14,272
CA,Lake Shastina,2482,2,10
CA,Lakewood,81086,225,2062
CA,La Mesa,58482,181,1968
CA,La Mirada,49150,72,841
CA,Lancaster,159792,832,3495
CA,La Palma,15950,10,326
CA,La Puente,40415,143,493
CA,La Quinta,39150,68,1494
CA,La Verne,31439,37,753
CA,Lawndale,33234,162,419
CA,Lemon Grove,26156,145,509
CA,Lemoore,24802,111,608
CA,Lincoln,44831,25,553
CA,Lindsay,13208,40,310
CA,Livermore,84350,270,1830
CA,Livingston,13683,33,196
CA,Lodi,63639,287,2301
CA,Loma Linda,23701,61,721
CA,Lomita,20622,66,414
CA,Lompoc,43581,188,1051
CA,Long Beach,469665,2346,12999
CA,Los Alamitos,11735,24,360
CA,Los Altos,30225,23,358
CA,Los Altos Hills,8300,2,83
CA,Los Angeles,3878725,16524,85844
CA,Los Banos,36965,109,1060
CA,Los Gatos,30351,25,551
CA,Lynwood,71077,436,1528
CA,Madera,62973,568,1855
CA,Malibu,12891,28,350
CA,Mammoth Lakes,8258,18,152
CA,Manhattan Beach,35930,64,853
CA,Manteca,72261,212,2699
CA,Marina,20426,50,560
CA,Martinez,36910,53,824
CA,Marysville,12168,87,539
CA,Maywood,27744,112,320
CA,McFarland,12288,65,274
CA,Mendota,11472,38,294
CA,Menifee,82634,99,1680
CA,Menlo Park,33146,53,644
CA,Merced,81329,556,2647
CA,Mill Valley,14239,11,229
CA,Milpitas,69522,93,2067
CA,Mission Viejo,95895,62,998
CA,Modesto,204252,1704,9989
CA,Monrovia,37071,57,806
CA,Montague,1411,2,16
CA,Montclair,37785,187,1623
CA,Montebello,63566,183,1756
CA,Monterey,29338,120,1108
CA,Monterey Park,61152,104,1162
CA,Monte Sereno,3491,1,33
CA,Moorpark,35264,37,409
CA,Moraga,16664,11,150
CA,Moreno Valley,201284,638,5872
CA,Morgan Hill,39907,63,676
CA,Morro Bay,10412,31,171
CA,Mountain View,77399,157,1706
CA,Mount Shasta,3309,5,69
CA,Murrieta,107768,70,1640
CA,Napa,78761,255,1409
CA,National City,59637,314,1890
CA,Needles,4932,15,208
CA,Nevada City,3039,26,129
CA,Newark,43950,123,1062
CA,Newman,10691,36,198
CA,Newport Beach,87639,73,2158
CA,Norco,27497,42,594
CA,Norwalk,106518,407,2246
CA,Novato,53735,107,836
CA,Oakdale,21340,50,826
CA,Oakland,403887,7984,25176
CA,Oakley,37824,70,497
CA,Oceanside,172525,634,4494
CA,Ojai,7585,14,103
CA,Ontario,168144,453,4507
CA,Orange,140304,147,2418
CA,Orange Cove,9750,212,880
CA,Orinda,18520,10,214
CA,Orland,7420,27,175
CA,Oroville,15581,78,1011
CA,Oxnard,202594,651,5074
CA,Pacifica,38494,66,546
CA,Pacific Grove,15518,22,308
CA,Palmdale,156522,759,3344
CA,Palm Desert,50456,110,2215
CA,Palm Springs,46282,255,2350
CA,Palo Alto,66964,54,1483
CA,Palos Verdes Estates,13658,6,147
CA,Paradise,26222,68,530
CA,Paramount,54868,222,1633
CA,Parlier,14856,91,375
CA,Pasadena,139003,434,3779
CA,Paso Robles,30795,103,848
CA,Patterson,20733,41,631
CA,Perris,72171,241,2038
CA,Petaluma,59224,179,1013
CA,Pico Rivera,63710,207,1521
CA,Piedmont,10963,20,292
CA,Pinole,18848,69,685
CA,Pismo Beach,7824,22,317
CA,Pittsburg,66387,185,2022
CA,Placentia,52002,66,784
CA,Placerville,10339,63,294
CA,Pleasant Hill,34044,55,1469
CA,Pleasanton,72975,60,1281
CA,Pomona,151366,809,4394
CA,Porterville,55267,194,1506
CA,Port Hueneme,21910,57,405
CA,Poway,49444,90,575
CA,Rancho Cordova,67634,352,2202
CA,Rancho Cucamonga,172262,331,3824
CA,Rancho Mirage,17816,26,636
CA,Rancho Palos Verdes,42542,30,580
CA,Rancho Santa Margarita,49190,17,290
CA,Red Bluff,14170,146,938
CA,Redding,91035,585,3774
CA,Redlands,70282,215,3020
CA,Redondo Beach,67993,160,1588
CA,Redwood City,79707,190,1871
CA,Reedley,25018,157,529
CA,Rialto,102520,434,2717
CA,Richmond,107341,1112,4826
CA,Ridgecrest,28537,154,570
CA,Rio Dell,3368,11,46
CA,Rio Vista,7622,32,245
CA,Ripon,14802,15,342
CA,Riverbank,23474,37,685
CA,Riverside,316423,1330,10608
CA,Rocklin,59621,62,1011
CA,Rohnert Park,41326,180,687
CA,Rolling Hills,1894,0,11
CA,Rolling Hills Estates,8229,3,118
CA,Rosemead,54587,149,1067
CA,Roseville,126236,261,3343
CA,Ross,2447,1,48
CA,Sacramento,478182,3137,17980
